model,fold,n_train,n_test,precision_critical,recall_critical,f1_critical,macro_f1,balanced_accuracy
SVM (linear),1,40,10,1.0,1.0,1.0,1.0,1.0
SVM (linear),2,40,10,0.0,0.0,0.0,0.47368421052631576,0.5
SVM (linear),3,40,10,0.0,0.0,0.0,0.4444444444444444,0.5
SVM (linear),4,40,10,1.0,0.5,0.6666666666666666,0.803921568627451,0.75
SVM (linear),5,40,10,1.0,1.0,1.0,1.0,1.0
Logistic regression,1,40,10,1.0,1.0,1.0,1.0,1.0
Logistic regression,2,40,10,0.0,0.0,0.0,0.47368421052631576,0.5
Logistic regression,3,40,10,0.0,0.0,0.0,0.4444444444444444,0.5
Logistic regression,4,40,10,1.0,0.5,0.6666666666666666,0.803921568627451,0.75
Logistic regression,5,40,10,1.0,1.0,1.0,1.0,1.0
Decision tree,1,40,10,1.0,1.0,1.0,1.0,1.0
Decision tree,2,40,10,0.0,0.0,0.0,0.47368421052631576,0.5
Decision tree,3,40,10,0.0,0.0,0.0,0.4444444444444444,0.5
Decision tree,4,40,10,1.0,0.5,0.6666666666666666,0.803921568627451,0.75
Decision tree,5,40,10,1.0,0.5,0.6666666666666666,0.803921568627451,0.75
Random forest,1,40,10,1.0,1.0,1.0,1.0,1.0
Random forest,2,40,10,0.0,0.0,0.0,0.47368421052631576,0.5
Random forest,3,40,10,0.0,0.0,0.0,0.4444444444444444,0.5
Random forest,4,40,10,0.0,0.0,0.0,0.4444444444444444,0.5
Random forest,5,40,10,1.0,0.5,0.6666666666666666,0.803921568627451,0.75
