method,run,route_id,allocation
Uniform allocation,0,SYN-009,2
Uniform allocation,0,SYN-014,2
Uniform allocation,0,SYN-027,1
Uniform allocation,0,SYN-034,1
Uniform allocation,0,SYN-035,1
Uniform allocation,0,SYN-037,1
Uniform allocation,0,SYN-044,1
Uniform allocation,0,SYN-050,1
Vulnerability-proportional allocation,0,SYN-009,0
Vulnerability-proportional allocation,0,SYN-014,1
Vulnerability-proportional allocation,0,SYN-027,2
Vulnerability-proportional allocation,0,SYN-034,1
Vulnerability-proportional allocation,0,SYN-035,2
Vulnerability-proportional allocation,0,SYN-037,0
Vulnerability-proportional allocation,0,SYN-044,2
Vulnerability-proportional allocation,0,SYN-050,2
Greedy marginal allocation,0,SYN-009,0
Greedy marginal allocation,0,SYN-014,1
Greedy marginal allocation,0,SYN-027,1
Greedy marginal allocation,0,SYN-034,1
Greedy marginal allocation,0,SYN-035,1
Greedy marginal allocation,0,SYN-037,0
Greedy marginal allocation,0,SYN-044,2
Greedy marginal allocation,0,SYN-050,4
Elite-preserving stochastic search,1,SYN-009,0
Elite-preserving stochastic search,1,SYN-014,0
Elite-preserving stochastic search,1,SYN-027,1
Elite-preserving stochastic search,1,SYN-034,2
Elite-preserving stochastic search,1,SYN-035,1
Elite-preserving stochastic search,1,SYN-037,1
Elite-preserving stochastic search,1,SYN-044,2
Elite-preserving stochastic search,1,SYN-050,3
Random search,1,SYN-009,0
Random search,1,SYN-014,0
Random search,1,SYN-027,2
Random search,1,SYN-034,1
Random search,1,SYN-035,0
Random search,1,SYN-037,0
Random search,1,SYN-044,3
Random search,1,SYN-050,4
Elite-preserving stochastic search,2,SYN-009,0
Elite-preserving stochastic search,2,SYN-014,0
Elite-preserving stochastic search,2,SYN-027,3
Elite-preserving stochastic search,2,SYN-034,1
Elite-preserving stochastic search,2,SYN-035,0
Elite-preserving stochastic search,2,SYN-037,1
Elite-preserving stochastic search,2,SYN-044,2
Elite-preserving stochastic search,2,SYN-050,3
Random search,2,SYN-009,0
Random search,2,SYN-014,0
Random search,2,SYN-027,3
Random search,2,SYN-034,1
Random search,2,SYN-035,0
Random search,2,SYN-037,1
Random search,2,SYN-044,2
Random search,2,SYN-050,3
Elite-preserving stochastic search,3,SYN-009,0
Elite-preserving stochastic search,3,SYN-014,0
Elite-preserving stochastic search,3,SYN-027,1
Elite-preserving stochastic search,3,SYN-034,2
Elite-preserving stochastic search,3,SYN-035,1
Elite-preserving stochastic search,3,SYN-037,0
Elite-preserving stochastic search,3,SYN-044,3
Elite-preserving stochastic search,3,SYN-050,3
Random search,3,SYN-009,0
Random search,3,SYN-014,0
Random search,3,SYN-027,1
Random search,3,SYN-034,2
Random search,3,SYN-035,1
Random search,3,SYN-037,0
Random search,3,SYN-044,3
Random search,3,SYN-050,3
Elite-preserving stochastic search,4,SYN-009,0
Elite-preserving stochastic search,4,SYN-014,0
Elite-preserving stochastic search,4,SYN-027,1
Elite-preserving stochastic search,4,SYN-034,2
Elite-preserving stochastic search,4,SYN-035,1
Elite-preserving stochastic search,4,SYN-037,1
Elite-preserving stochastic search,4,SYN-044,2
Elite-preserving stochastic search,4,SYN-050,3
Random search,4,SYN-009,0
Random search,4,SYN-014,0
Random search,4,SYN-027,1
Random search,4,SYN-034,2
Random search,4,SYN-035,1
Random search,4,SYN-037,1
Random search,4,SYN-044,2
Random search,4,SYN-050,3
Elite-preserving stochastic search,5,SYN-009,0
Elite-preserving stochastic search,5,SYN-014,0
Elite-preserving stochastic search,5,SYN-027,2
Elite-preserving stochastic search,5,SYN-034,1
Elite-preserving stochastic search,5,SYN-035,1
Elite-preserving stochastic search,5,SYN-037,0
Elite-preserving stochastic search,5,SYN-044,3
Elite-preserving stochastic search,5,SYN-050,3
Random search,5,SYN-009,0
Random search,5,SYN-014,0
Random search,5,SYN-027,2
Random search,5,SYN-034,1
Random search,5,SYN-035,1
Random search,5,SYN-037,0
Random search,5,SYN-044,3
Random search,5,SYN-050,3
Elite-preserving stochastic search,6,SYN-009,1
Elite-preserving stochastic search,6,SYN-014,0
Elite-preserving stochastic search,6,SYN-027,2
Elite-preserving stochastic search,6,SYN-034,2
Elite-preserving stochastic search,6,SYN-035,0
Elite-preserving stochastic search,6,SYN-037,0
Elite-preserving stochastic search,6,SYN-044,2
Elite-preserving stochastic search,6,SYN-050,3
Random search,6,SYN-009,0
Random search,6,SYN-014,0
Random search,6,SYN-027,2
Random search,6,SYN-034,1
Random search,6,SYN-035,0
Random search,6,SYN-037,0
Random search,6,SYN-044,2
Random search,6,SYN-050,5
Elite-preserving stochastic search,7,SYN-009,0
Elite-preserving stochastic search,7,SYN-014,0
Elite-preserving stochastic search,7,SYN-027,1
Elite-preserving stochastic search,7,SYN-034,2
Elite-preserving stochastic search,7,SYN-035,0
Elite-preserving stochastic search,7,SYN-037,0
Elite-preserving stochastic search,7,SYN-044,3
Elite-preserving stochastic search,7,SYN-050,4
Random search,7,SYN-009,0
Random search,7,SYN-014,0
Random search,7,SYN-027,1
Random search,7,SYN-034,2
Random search,7,SYN-035,0
Random search,7,SYN-037,0
Random search,7,SYN-044,3
Random search,7,SYN-050,4
Elite-preserving stochastic search,8,SYN-009,0
Elite-preserving stochastic search,8,SYN-014,1
