method,run,seed,objective,baseline_objective,reduction_percent,evaluations,distinct_candidates,runtime_seconds,resource_sum,feasible,integer_feasible
Uniform allocation,0,42,42.26578842861816,94.80098696370598,55.41629915224472,1,1,7.8370012488449e-06,10,True,True
Vulnerability-proportional allocation,0,42,32.788120980743365,94.80098696370598,65.41373457082666,1,1,1.1416001143516041e-05,10,True,True
Greedy marginal allocation,0,42,30.84864384869273,94.80098696370598,67.45957522519996,80,80,9.524999768473208e-06,10,True,True
Elite-preserving stochastic search,1,2684470948,31.789144095452105,94.80098696370598,66.4674966858495,1000,793,0.018320737000976806,10,True,True
Random search,1,2684470948,31.16131601756654,94.80098696370598,67.12975569600718,1000,976,0.022487300000648247,10,True,True
Elite-preserving stochastic search,2,4091952314,32.10384975148228,94.80098696370598,66.13553215034243,1000,796,0.019011375999980373,10,True,True
Random search,2,4091952314,32.10384975148228,94.80098696370598,66.13553215034243,1000,982,0.021172382999793626,10,True,True
Elite-preserving stochastic search,3,233227757,31.410075523427036,94.80098696370598,66.867353885828,1000,794,0.018173074000515044,10,True,True
Random search,3,233227757,31.410075523427036,94.80098696370598,66.867353885828,1000,984,0.01923506200000702,10,True,True
Elite-preserving stochastic search,4,3276785861,31.789144095452105,94.80098696370598,66.4674966858495,1000,799,0.017996235999817145,10,True,True
Random search,4,3276785861,31.789144095452105,94.80098696370598,66.4674966858495,1000,980,0.020499358999586548,10,True,True
Elite-preserving stochastic search,5,3644269654,31.19253451012828,94.80098696370598,67.09682513952079,1000,798,0.01841200399940135,10,True,True
Random search,5,3644269654,31.19253451012828,94.80098696370598,67.09682513952079,1000,981,0.019087663999016513,10,True,True
Elite-preserving stochastic search,6,1206282609,32.34350074742485,94.80098696370598,65.88273837295874,1000,796,0.018240090999825043,10,True,True
Random search,6,1206282609,31.60071107074417,94.80098696370598,66.66626362988993,1000,974,0.01915503300006094,10,True,True
Elite-preserving stochastic search,7,3543069911,31.378857030865298,94.80098696370598,66.90028444231439,1000,791,0.01815009900019504,10,True,True
Random search,7,3543069911,31.378857030865298,94.80098696370598,66.90028444231439,1000,974,0.01931410399993183,10,True,True
Elite-preserving stochastic search,8,3479688010,31.316604898929402,94.80098696370598,66.96595056450332,1000,787,0.018308266000531148,10,True,True
Random search,8,3479688010,31.316604898929402,94.80098696370598,66.96595056450332,1000,969,0.01998017100049765,10,True,True
Elite-preserving stochastic search,9,877132087,31.665543883014085,94.80098696370598,66.59787529940269,1000,792,0.01814578500125208,10,True,True
Random search,9,877132087,31.665543883014085,94.80098696370598,66.59787529940269,1000,974,0.06505582700083323,10,True,True
Elite-preserving stochastic search,10,1244265337,31.60071107074417,94.80098696370598,66.66626362988993,1000,798,0.04896014499900048,10,True,True
Random search,10,1244265337,30.937536326904336,94.80098696370598,67.36580776448183,1000,978,0.01884352500019304,10,True,True
Elite-preserving stochastic search,11,2740186692,31.540384589591607,94.80098696370598,66.72989849602867,1000,791,0.0182566700004827,10,True,True
Random search,11,2740186692,31.540384589591607,94.80098696370598,66.72989849602867,1000,972,0.01965726900016307,10,True,True
Elite-preserving stochastic search,12,3884972972,30.937536326904336,94.80098696370598,67.36580776448183,1000,794,0.02204623800025729,10,True,True
Random search,12,3884972972,30.937536326904336,94.80098696370598,67.36580776448183,1000,975,0.01983595899946522,10,True,True
Elite-preserving stochastic search,13,829139639,30.90392200719616,94.80098696370598,67.40126553848269,1000,796,0.018614706999869668,10,True,True
Random search,13,829139639,30.90392200719616,94.80098696370598,67.40126553848269,1000,977,0.02079945099831093,10,True,True
Elite-preserving stochastic search,14,2545567356,31.9670128557338,94.80098696370598,66.27987336463893,1000,785,0.018831221999789705,10,True,True
Random search,14,2545567356,31.9670128557338,94.80098696370598,66.27987336463893,1000,971,0.019479111000691773,10,True,True
Elite-preserving stochastic search,15,2718398101,31.316604898929402,94.80098696370598,66.96595056450332,1000,786,0.017667842999799177,10,True,True
Random search,15,2718398101,31.316604898929402,94.80098696370598,66.96595056450332,1000,965,0.01901967600133503,10,True,True
Elite-preserving stochastic search,16,176092387,31.121463020494918,94.80098696370598,67.1717942847899,1000,792,0.018167898000683635,10,True,True
Random search,16,176092387,31.121463020494918,94.80098696370598,67.1717942847899,1000,972,0.020204058000672376,10,True,True
Elite-preserving stochastic search,17,3528048386,31.894422196984312,94.80098696370598,66.35644499229223,1000,796,0.01954395999928238,10,True,True
Random search,17,3528048386,31.31402421859538,94.80098696370598,66.96867277280164,1000,978,0.019342571999004576,10,True,True
Elite-preserving stochastic search,18,569531098,30.968754819466074,94.80098696370598,67.33287720799544,1000,792,0.017727358999763965,10,True,True
Random search,18,569531098,30.968754819466074,94.80098696370598,67.33287720799544,1000,974,0.019503699000779307,10,True,True
Elite-preserving stochastic search,19,1337295874,31.436715869702745,94.80098696370598,66.83925254729878,1000,793,0.0194855940007983,10,True,True
Random search,19,1337295874,31.436715869702745,94.80098696370598,66.83925254729878,1000,976,0.019430063000982045,10,True,True
Elite-preserving stochastic search,20,612016888,31.43413518936872,94.80098696370598,66.84197475559712,1000,792,0.01858734000052209,10,True,True
Random search,20,612016888,31.43413518936872,94.80098696370598,66.84197475559712,1000,977,0.019825743000183138,10,True,True
Elite-preserving stochastic search,21,232150720,30.90392200719616,94.80098696370598,67.40126553848269,1000,793,0.01814902499972959,10,True,True
Random search,21,232150720,30.90392200719616,94.80098696370598,67.40126553848269,1000,971,0.019959723000283702,10,True,True
Elite-preserving stochastic search,22,2324106676,30.937536326904336,94.80098696370598,67.36580776448183,1000,794,0.018634955999004887,10,True,True
Random search,22,2324106676,30.937536326904336,94.80098696370598,67.36580776448183,1000,972,0.01894952899965574,10,True,True
